Класс ОКВЭД;Отрасль;Часовая стоимость труда, руб.;ВДС на чел.-час, руб.;Приб. продукт на чел.-час, руб.;Сглаженный приб. продукт, руб.;База часа b_j, руб.;Отраслевой коэф. k_j;Надбавка mu_j;Доля труда в ВДС;Доля капитала в ВДС;Прямые трудозатраты, чел.-ч/1000 руб.;Полные трудозатраты, чел.-ч/1000 руб.;Множитель цепочки;Цикл, дней;K_цикл;Затраты вне периметра, руб./руб.
20;Химические вещества и продукты;751,7;1634,1;686,3;740,2;1010,73;1,153;0,67;0,46;0,42;0,1958;0,2353;1,202;7;1,0252;0,6232
21;Лекарственные средства;830,8;1932,1;908,1;982,9;1174,82;1,3402;0,7083;0,43;0,47;0,2277;0,3004;1,319;21;1,0637;0,4558
22;Резиновые и пластмассовые изделия;538,0;867,8;243,0;265,2;630,86;0,7197;0,4108;0,62;0,28;0,3342;0,4181;1,251;2;1,0077;0,5748
23;Прочая неметаллическая минеральная;553,9;989,0;306,6;343,2;673,97;0,7689;0,5217;0,56;0,31;0,3539;0,3757;1,062;5;1,0185;0,6132
24;Металлургическое производство;775,4;1938,5;872,3;954,0;1109,3;1,2655;0,8211;0,4;0,45;0,1393;0,1931;1,386;10;1,0345;0,6461
25;Готовые металлические изделия;648,8;983,1;255,6;283,6;748,07;0,8534;0,3515;0,66;0,26;0,3357;0,431;1,284;14;1,046;0,5077
26;Компьютеры, электроника, оптика;933,7;1697,6;594,1;645,4;1159,54;1,3228;0,5082;0,55;0,35;0,2651;0,362;1,366;45;1,11;0,4285
27;Электрическое оборудование;672,6;1067,5;309,6;341,2;791,99;0,9035;0,3879;0,63;0,29;0,3185;0,4611;1,448;30;1,0832;0,4672
28;Машины и оборудование;696,3;1071,2;289,2;319,5;808,1;0,9219;0,363;0,65;0,27;0,3361;0,509;1,514;60;1,1318;0,4196
29;Автотранспортные средства;633,0;944,8;207,8;227,9;712,76;0,8131;0,3537;0,67;0,22;0,2646;0,4692;1,773;20;1,0613;0,4985
30;Прочие транспортные средства;886,2;1477,0;443,1;478,6;1053,69;1,202;0,4354;0,6;0,3;0,2573;0,4655;1,809;180;1,2335;0,3538
